,img_src,label,label_index,one_hot
0,./datasets\PlantDoc\Apple Scab Leaf\01Apple-scab-2-Venturia-inaequalis.ashx_w=600&h=408&bc=ffffff.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,./datasets\PlantDoc\Apple Scab Leaf\052609%20Hartman%20Crabapple%20scab%20single%20leaf.JPG.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,./datasets\PlantDoc\Apple Scab Leaf\11NovMW_W4-A_4b.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,./datasets\PlantDoc\Apple Scab Leaf\12-20_apple_scab1.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,./datasets\PlantDoc\Apple Scab Leaf\1b321015-6e33-4f18-aade-888f4383fe92.jpeg.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,./datasets\PlantDoc\Apple Scab Leaf\28-500x375.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,./datasets\PlantDoc\Apple Scab Leaf\500_F_125294801_k0A2teQwKxZfTV1pcaerZFf9Th04F04q.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,./datasets\PlantDoc\Apple Scab Leaf\6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg_1528657579.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,./datasets\PlantDoc\Apple Scab Leaf\816.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,./datasets\PlantDoc\Apple Scab Leaf\acfsca026527.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,./datasets\PlantDoc\Apple Scab Leaf\Apple%20scab%20-%20early%20infection%20on%20leaves.JPG.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,./datasets\PlantDoc\Apple Scab Leaf\Apple%20scab%20-%20late%20season%20infection%20on%20petiole%20and%20leaf%20underside.JPG.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,./datasets\PlantDoc\Apple Scab Leaf\apple%20scab%20leaf.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,./datasets\PlantDoc\Apple Scab Leaf\apple%20scab%20MF821.JPG.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,./datasets\PlantDoc\Apple Scab Leaf\apple%20scabnew.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-5366820.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-disease-tree-fungus-906x391.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,./datasets\PlantDoc\Apple Scab Leaf\apple-scab-disease.jpg,Apple Scab Leaf,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
